,instance_name,damodaran_min,damodaran_mean,DA_time
381,20J_10p_3m_50%_20s-2.dzn,74,74.16666666666667,0.2674818038940429
382,20J_10p_3m_50%_20s-3.dzn,63,63.0,0.26148263613382966
383,20J_10p_3m_50%_20s-4.dzn,61,61.333333333333336,0.2757363319396972
384,20J_10p_3m_50%_20s-5.dzn,55,55.166666666666664,0.30377503236134845
385,20J_10p_3m_50%_5s-1.dzn,58,59.166666666666664,0.2630963325500488
386,20J_10p_3m_50%_5s-2.dzn,57,57.0,0.2546163002649942
387,20J_10p_3m_50%_5s-3.dzn,64,64.0,0.26375353336334223
388,20J_10p_3m_50%_5s-4.dzn,34,35.666666666666664,0.2638569672902425
389,20J_10p_3m_50%_5s-5.dzn,56,56.0,0.26048346360524494
390,20J_10p_5m_10%_20s-1.dzn,20,20.666666666666668,0.31095770994822175
391,20J_10p_5m_10%_20s-2.dzn,19,20.833333333333332,0.34710844357808424
392,20J_10p_5m_10%_20s-3.dzn,20,20.666666666666668,0.3230859835942586
393,20J_10p_5m_10%_20s-4.dzn,12,14.333333333333334,0.3184376955032348
394,20J_10p_5m_10%_20s-5.dzn,23,23.666666666666668,0.32934379577636713
395,20J_10p_5m_10%_5s-1.dzn,20,20.0,0.2727749347686767
396,20J_10p_5m_10%_5s-2.dzn,19,19.666666666666668,0.2607499758402506
397,20J_10p_5m_10%_5s-3.dzn,20,20.0,0.27050101757049555
398,20J_10p_5m_10%_5s-4.dzn,21,21.0,0.27066334088643396
399,20J_10p_5m_10%_5s-5.dzn,18,18.333333333333332,0.27110830942789704
400,20J_10p_5m_5%_20s-1.dzn,15,15.0,0.31381245454152423
401,20J_10p_5m_5%_20s-2.dzn,22,22.0,0.3154983123143514
402,20J_10p_5m_5%_20s-3.dzn,19,19.166666666666668,0.32366069157918287
403,20J_10p_5m_5%_20s-4.dzn,17,17.833333333333332,0.3343396584192912
404,20J_10p_5m_5%_20s-5.dzn,18,19.166666666666668,0.3373078107833862
405,20J_10p_5m_5%_5s-1.dzn,16,16.0,0.259410540262858
406,20J_10p_5m_5%_5s-2.dzn,13,14.333333333333334,0.2774949868520101
407,20J_10p_5m_5%_5s-3.dzn,14,14.0,0.2774886687596639
408,20J_10p_5m_5%_5s-4.dzn,14,14.333333333333334,0.26485085487365717
409,20J_10p_5m_5%_5s-5.dzn,14,14.0,0.2801421483357747
410,20J_10p_5m_50%_20s-1.dzn,58,58.0,0.33727467060089106
411,20J_10p_5m_50%_20s-2.dzn,74,74.0,0.28704301516215
412,20J_10p_5m_50%_20s-3.dzn,63,63.0,0.2809910376866658
413,20J_10p_5m_50%_20s-4.dzn,61,61.0,0.2935261726379394
414,20J_10p_5m_50%_20s-5.dzn,55,55.0,0.3374264240264892
415,20J_10p_5m_50%_5s-1.dzn,58,58.0,0.26750199000040686
416,20J_10p_5m_50%_5s-2.dzn,57,57.0,0.2632020314534505
417,20J_10p_5m_50%_5s-3.dzn,64,64.0,0.27438636620839435
