,instance,total_cost,seed,normalization_constant,cost,solver
604,107,249764,46,250000,0.999056,R
605,103,5794836,43,6375000,0.9089938823529412,R
606,97,6466,46,7500,0.8621333333333333,R
607,50,126302,50,132000,0.9568333333333333,R
608,93,6966,43,7500,0.9288,R
609,56,1326,46,1500,0.884,R
610,91,6544,50,7500,0.8725333333333334,R
611,52,1340,43,1500,0.8933333333333333,R
612,14,101144,48,108000,0.9365185185185185,R
613,18,16410,47,16500,0.9945454545454545,R
614,15,2868,45,3000,0.956,R
615,91,6550,49,7500,0.8733333333333333,R
616,14,101144,51,108000,0.9365185185185185,R
617,99,1275672,43,1437500,0.887424,R
618,90,5640348,44,6375000,0.8847604705882353,R
619,12,672,47,750,0.896,R
620,16,817880,42,821100,0.996078431372549,R
